index,Date,Open,High,Low,Close,Adj Close,Volume,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,option_type
-2.0738931766579047,2023-10-03 00:00:00+00:00,-2.2581085895015156,-2.2704490835121742,-2.3556595830789897,-2.3779719252264013,-2.3464463479562063,1.9621339878980524,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.0618579456537858,2023-10-04 00:00:00+00:00,-2.321675242792292,-2.312152985431602,-2.347296855168702,-2.3105176824102087,-2.2827601481596473,1.0906930778849844,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.049822714649667,2023-10-05 00:00:00+00:00,-2.272990722811549,-2.313442742725508,-2.3338722994187235,-2.3140332850572327,-2.286079329987926,0.16567016926573844,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.0377874836455483,2023-10-06 00:00:00+00:00,-2.3238013545220406,-2.1896207942611303,-2.346416391284155,-2.203294148540234,-2.1815267064865766,2.466698253420532,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.0257522526414293,2023-10-09 00:00:00+00:00,-2.204534077422171,-2.1520013424494633,-2.2053521077585776,-2.142871111018089,-2.1244788703465747,0.7124288559505179,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.0137170216373104,2023-10-10 00:00:00+00:00,-2.0905811064493607,-2.0587051806802705,-2.0838742839804802,-2.093434080318152,-2.0778043596691234,0.6179990666446671,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-2.0016817906331914,2023-10-11 00:00:00+00:00,-2.0331793337371846,-2.072463466523502,-2.06956993594312,-2.0543239228523964,-2.040877579580345,-0.24531931041922486,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-1.9896465596290727,2023-10-12 00:00:00+00:00,-2.005329021832638,-2.0561256660924587,-2.112482980055201,-2.112769559610461,-2.0960588972710026,0.7540995874884628,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-1.977611328624954,2023-10-13 00:00:00+00:00,-2.042321549295284,-2.07525750330618,-2.1421924238848975,-2.160229189546318,-2.1408668894991085,1.5016344636248538,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
-1.965576097620835,2023-10-16 00:00:00+00:00,-2.0718723613047048,-2.060424638395086,-2.060986924162404,-2.0604760598515273,-2.0466863081887743,0.4483824098421652,0.5932653028981282,0.6530965180855319,-0.04975185951049946,0.0,0.0,0.0,-0.26003462549394546,0.0,-0.4511226187362339,True,REGULAR,put
