,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,delta,gamma,theta,vega,lastPrice,strike,support,SMA_20,SMA_50,RSI,BB_upper,BB_lower,Momentum_14,Close_lag1,RSI_lag1
2023-03-15,376.56186577953554,380.0748188800101,374.43454045373784,379.8699035644531,172996900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,388.3996154785156,389.75581604003906,38.04126923198267,402.668274414735,374.13095654229625,-11.10491943359375,382.26068115234375,42.79373580704666
2023-03-16,377.4693793221886,386.88610321857124,376.9521922416997,386.5347900390625,143254200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,387.5277130126953,390.0542230224609,49.73068606741769,399.7779329980978,375.2774930272928,-0.26348876953125,379.8699035644531,38.04126923198267
2023-03-17,385.17909763939736,386.3349608016667,380.60458069602095,382.01513671875,140553400.0,1.506,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,386.7079391479492,390.2048596191406,44.1476720145817,398.05261427673645,375.363264019162,-6.100555419921875,386.5347900390625,49.73068606741769
2023-03-20,382.8085633783955,386.10967574300594,382.0935101970619,385.6884460449219,93055800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,386.121598815918,390.51444458007813,49.08685168603036,396.28706935660574,375.95612827523024,-0.992767333984375,382.01513671875,44.1476720145817
2023-03-21,389.11691342436905,391.24255270502465,387.49085482716674,390.7527770996094,91524200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,386.1870971679688,390.7555218505859,54.793589796260186,396.45899368976666,375.9152006461709,5.55487060546875,385.6884460449219,49.08685168603036
2023-03-22,390.5764817967833,394.2595741797678,384.0526668658085,384.0918273925781,111746600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,385.94638671875,390.8676739501953,46.670847581385416,396.1755506073706,375.71722283012934,-4.101898193359375,390.7527770996094,54.793589796260186
2023-03-23,387.0109096961148,391.1250370089912,382.3678462180223,385.13018798828125,119351300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,385.6541549682617,390.9475079345703,41.76750687098133,395.60871532884164,375.6995946076818,-9.289276123046875,384.0918273925781,46.670847581385416
2023-03-24,383.82730023660804,387.74550464477295,381.4371931561453,387.6573486328125,107682400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,385.69710845947264,390.981474609375,44.004489818846835,395.67982939766404,375.71438752128125,-7.035400390625,385.13018798828125,41.76750687098133
2023-03-27,389.97893649434445,390.7625954256956,387.4712877010839,388.38226318359375,74010400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,385.71043701171874,391.00183471679685,49.756017193780124,395.7074561799735,375.71341784346396,-0.26031494140625,387.6573486328125,44.004489818846835
2023-03-28,387.6769439651639,388.38222198179426,385.6394907468587,387.51043701171875,62871700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,385.75189819335935,390.9747027587891,48.35168715429967,395.7727194207933,375.7310769659254,-1.7664794921875,388.38226318359375,49.756017193780124
